Contrato,Protheus,Cliente,Desde,Dt. Iní. Vigência,Dt. Fim Vigência,Vl. Contratado (R$),Vl. Faturado (R$),Vl. Saldo (R$),Tipo,Situação,Vigente,Dir.,Ger.,Gerente,Objeto
TC 89/2024-ALESP,3237-0,ALESP,2024-12-20,2024-12-20,2026-12-19,4848512.49,2743154.73,2105357.76,SUSTENTA??O,Vigente,Vigente,DRM,GRC-C,DEBORA ALVES SANTOS DE CARVALHO SILVA,IMPLANTAÇÃO DE PLATAFORMA DE COLABORAÇÃO MICROSOFT OFFICE 365
107/2025-SMS-1/CONTRATOS,3386-0,FMS,2025-12-22,2025-12-22,2026-12-21,81031443.62,20010897.0,61020546.62,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-2,MARCELLO LOURENCO BETONE      ,SUSTENTAÇÃO E MELHORIAS DE TIC.
207/2023/SMS-1-CONTRATOS,3061-4,FMS,2023-12-28,2025-12-28,2026-12-27,23144880.0,7501540.0,15643340.0,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-2,MARCELLO LOURENCO BETONE      ,SOLUÇÕES PARA VITRTUALIZAÇÃO DE DESKTOP CLOUD
604/SME/2022,2882-6,SME,2022-12-28,2025-12-28,2026-12-27,29678779.8,22248.0,29656531.8,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-1,MALDE MARIA VILAS BOAS        ,PRODUTOS E SERVIÇOS EM NUVE
93/SMADS/2023,3042-4,SMADS,2023-12-28,2025-12-29,2026-12-28,2207986.69,648547.41,1559439.28,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SERVIÇOS DE INFRAESTRUTURA DE TI
378/SME/2023,3215-1,SME,2024-12-11,2025-12-30,2026-12-29,11806298.95,1314402.73,10491896.22,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-1,MALDE MARIA VILAS BOAS        ,SUSTENTAÇÃO E DESENVOLVIMENTO CONTÍNUO PARA O SISTEMA SIGEP
030/SMTUR/2023,3044-3,SMTUR,2023-12-27,2026-01-06,2027-01-05,259568.28,115635.25,143933.03,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
01/SMSUB/COGEL/2026,3409-0,SMSUB,2026-01-16,2026-01-16,2027-01-15,33683736.61,3919714.14,29764022.47,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SUSTENTAÇÃO E MELHORIAS DE TIC
TC 743/2023,3239-0,ALESP,2025-01-16,2025-01-16,2027-01-15,9849680.49,5646963.27,4202717.22,SUSTENTA??O,Vigente,Vigente,DRM,GRC-C,DEBORA ALVES SANTOS DE CARVALHO SILVA,SERVIÇOS DE GERENCIAMENTO DECONTÊINERES
12/2025/SMUL,3380-0,SMUL,2025-11-19,2025-11-19,2027-01-18,7344312.37,536268.49,6808043.88,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,MIGRAÇÃO DOS DADOS DOS PROCESSOS PROTOCOLADOS
001/SUB-IT/2026,3414-0,SUB-IT,2026-02-01,2026-02-01,2027-01-31,115006.2,11414.3,103591.9,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,DISPONIBILIZAÇÃO DE SERVIÇOS DE MICROSOFT OFFICE 365
TC 03/2025/SMUL,3254-1,SMUL,2025-02-10,2026-02-10,2027-02-09,7063992.0,850792.18,6213199.82,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SUSTENTAÇÃO E MELHORIAS DE SISTEMAS DA INFORMAÇÃO
TC 010/2025,3255-0,SPTURIS,2025-02-14,2025-02-14,2027-02-13,111923.04,45065.61,66857.43,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
09/2023/SMUL,2919-3,SMUL,2023-06-05,2025-08-19,2027-02-18,1033472.0,425842.53,607629.47,PROJETOS,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,ATUALIZAÇÃO TECNOLÓGICA DO GEOSAMPA SIG-SP
06/2025-CMSP,3261-1,CMSP,2025-03-01,2026-03-01,2027-02-28,362854.56,15334.65,347519.91,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC.
04/2024,3073-4,TCM,2024-03-03,2026-03-03,2027-03-02,930845.69,49704.71,881140.98,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO E MELHORIAS DO SISTEMA SIGPEC
25/SMIT/2024,3087-7,SMIT,2024-03-12,2026-03-12,2027-03-11,13504574.3,1080387.67,12424186.63,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SUSTENTAÇÃO DO PROJETO DESCOMPLICA
010/SMSU/2026,3422-0,SMSU,2026-03-13,2026-03-13,2027-03-12,23490.0,452.4,23037.6,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,FORNECIMENTO DE LICENÇA DE POWER BI PRO
